,Dan,Eddy,Martin,Padam,mean,range
Part 1,24.55,24.7,24.67,24.71,24.6575,0.16
Part 2,24.57,24.67,24.57,24.65,24.615,0.1
Part 3,23.95,24.02,24,23.92,23.9725,0.1
Part 4,25.41,25.59,25.38,25.28,25.415,0.31
Part 5,24.99,25.06,25.06,25.05,25.04,0.07
Part 6,25,24.93,24.92,24.92,24.9425,0.08
Part 7,24,24.09,23.93,24.08,24.025,0.16
Part 8,23.65,23.69,23.67,23.67,23.67,0.04
Part 9,23.26,23.27,23.29,23.25,23.2675,0.04
Part 10,24.22,24.3,24.27,24.24,24.2575,0.08
Part 11,24,23.93,24.12,23.89,23.985,0.23
Part 12,24.37,24.18,24.19,24.26,24.25,0.19
Part 13,23.65,23.6,23.65,23.61,23.6275,0.05
Part 14,25.08,25.09,24.99,25.11,25.0675,0.12
Part 15,24.52,24.48,24.3,24.44,24.435,0.22
Part 16,24.04,24.04,24,24,24.02,0.04
